"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Derek Hill","Tigers","114","477","437","89","13","3","8","47","35","28","156","6","19","12",".204",".260",".302",".562",".245","-2.0","-1.6","-1.7","sa828670"
"Joantgel Segovia","Brewers","122","501","462","108","19","2","6","47","37","30","95","4","11","9",".234",".285",".323",".608",".263","2.0","-2.0","-1.7","sa827979"
"Jeisson Rosario","Padres","122","536","461","93","14","4","4","56","31","66","150","3","10","8",".202",".305",".275",".580",".263","-8.0","-1.8","-1.8","sa3004146"
"Logan Hill","Pirates","117","469","423","82","19","3","14","47","51","37","163","6","2","3",".194",".267",".352",".619",".265","-3.0","-1.1","-1.8","sa875822"
"Chad Spanberger","Brewers","118","482","443","91","19","2","16","49","53","32","155","4","5","3",".205",".263",".366",".629",".266","-2.0","-0.5","-1.8","sa3004242"
"Ray-Patrick Didder","","116","446","388","66","10","3","5","41","24","40","154","14","20","8",".170",".270",".250",".520",".237","-5.0","0.3","-1.8","sa736824"
"Bryce Johnson","Giants","119","510","458","96","16","4","3","48","32","43","148","5","19","12",".210",".283",".282",".565",".251","3.0","-1.7","-1.8","sa3004753"
"Drew Weeks","Rockies","116","446","409","101","18","5","13","52","50","27","102","5","6","8",".247",".300",".411",".710",".301","-7.0","-2.5","-1.8","sa602429"
"Tristen Lutz","Brewers","119","503","456","87","20","3","15","51","51","38","191","5","4","3",".191",".258",".346",".605",".259","-6.0","-0.7","-1.8","sa3004968"
"Gabriel Guerrero","","132","483","460","106","19","3","13","47","49","18","133","1","4","4",".230",".259",".370",".628",".264","-5.0","-1.1","-1.8","14528"
"Bligh Madris","Pirates","120","478","434","91","18","4","8","43","42","34","117","3","2","4",".210",".269",".325",".594",".255","1.0","-1.6","-1.8","sa3004165"
"Bralin Jackson","","86","299","280","55","10","1","2","23","17","16","94","1","5","5",".196",".242",".261",".502",".218","3.0","-1.3","-1.9","sa658012"
"Preston Beck","","108","441","405","91","19","3","8","44","37","31","100","3","2","2",".225",".283",".346",".629",".271","-5.0","-0.7","-1.9","sa621361"
"Braxton Davidson","Braves","99","388","343","60","11","1","11","36","32","41","165","3","1","3",".175",".268",".309",".577",".254","1.0","-1.3","-1.9","sa828679"
"Aaron Knapp","","101","392","342","60","6","3","2","34","19","40","143","2","14","8",".175",".264",".228",".492",".226","2.0","-0.9","-1.9","sa873277"
"Corey Julks","Astros","112","464","419","87","17","2","6","42","31","39","127","4","10","8",".208",".280",".301",".581",".257","-6.0","-1.7","-2.0","sa913274"
"Mylz Jones","Rockies","114","430","404","97","14","3","8","43","35","17","106","3","15","10",".240",".275",".349",".624",".267","2.0","-1.6","-2.0","sa875606"
