"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".321",".435",".756",".319","","96","0.0","0.0","","0.0","0.0","0.0","19254"
"Chris Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".307",".455",".762",".320","","99","0.0","0.0","","0.0","0.0","0.0","9911"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".300",".433",".734",".308","","89","0.0","0.0","","0.0","0.0","0.0","11850"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".313",".423",".735",".311","","91","0.0","0.0","","0.0","0.0","0.0","6364"
"Matt Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".286",".415",".701",".296","","84","0.0","0.0","","0.0","0.0","0.0","7226"
"Tyler White","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".315",".399",".714",".306","","90","0.0","0.0","","0.0","0.0","0.0","15564"
"Jefry Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".299",".422",".721",".305","","87","0.0","0.0","","0.0","0.0","0.0","5107"
"Luis Valbuena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".292",".401",".693",".293","","79","0.0","0.0","","0.0","0.0","0.0","4969"
"Frank Schwindel","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".293",".426",".718",".301","","85","0.0","0.0","","0.0","0.0","0.0","15351"
"Tommy Joseph","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".298",".441",".739",".310","","87","0.0","0.0","","0.0","0.0","0.0","10349"
"Adrian Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".311",".410",".721",".304","","87","0.0","0.0","","0.0","0.0","0.0","1908"
"Rob Segedin","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".285",".375",".661",".282","","75","0.0","0.0","","0.0","0.0","0.0","11446"
"A.J. Reed","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".286",".388",".674",".287","","78","0.0","0.0","","0.0","0.0","0.0","16246"
