"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Scott Kingery","Phillies","144","598","547","131","29","3","18","64","68","37","159","6","15","5","",".240",".294",".405",".699",".295","","79","2.3","3.0","","-14.3","5.6","1.0","17975"
"Willie Calhoun","Rangers","130","549","495","135","25","1","25","72","79","43","84","4","2","1","",".273",".334",".483",".817",".342","","104","-0.3","-3.6","","2.6","-11.4","1.0","17838"
"Oscar Mercado","Indians","136","602","547","140","29","3","15","75","66","41","116","7","22","10","",".256",".313",".402",".715",".305","","84","0.8","0.5","","-11.2","0.4","1.0","16375"
"Corey Dickerson","Marlins","118","507","468","127","30","4","18","59","63","29","102","4","4","2","",".272",".317",".463",".779",".323","","102","-0.7","-0.8","","0.7","-6.7","1.0","10762"
"Howie Kendrick","Nationals","66","274","248","76","15","1","9","35","37","19","44","3","3","1","",".307",".361",".482",".843",".355","","116","-0.6","-0.6","","5.3","-3.8","1.0","4229"
"Ender Inciarte","Braves","104","445","398","105","19","3","8","50","42","37","69","4","13","5","",".265",".330",".387",".717",".308","","87","1.9","1.0","","-6.0","1.8","1.0","4922"
"Hunter Renfroe","Rays","123","518","470","109","22","1","28","63","76","38","151","5","4","1","",".231",".292",".458",".751",".312","","97","-0.3","0.0","","-2.5","-6.1","0.9","15464"
"David Dahl","Rockies","134","578","525","144","30","5","23","75","79","41","148","5","9","4","",".275",".331",".479",".810",".338","","93","0.9","-4.0","","-4.1","-5.0","0.9","13744"
"Mallex Smith","Mariners","134","581","518","129","24","6","7","65","47","47","128","7","39","12","",".249",".318",".360",".678",".295","","85","4.0","-5.1","","-7.1","-4.0","0.9","13608"
"Nick Senzel","Reds","96","425","382","99","22","3","12","53","44","33","99","3","12","5","",".260",".322",".428",".750",".318","","92","0.3","-0.6","","-4.3","-0.4","0.9","19293"
"Ryan Braun","Brewers","109","462","419","112","24","2","21","60","69","35","95","5","8","3","",".268",".328",".486",".814",".339","","107","-1.0","-2.0","","3.2","-9.1","0.9","3410"
"A.J. Pollock","Dodgers","80","345","312","79","17","1","14","44","45","24","73","5","6","2","",".253",".314",".447",".761",".319","","99","0.8","-0.7","","0.5","-3.0","0.8","9256"
"Adam Haseley","Phillies","110","436","394","100","20","1","12","44","49","30","91","5","5","2","",".254",".314",".403",".717",".305","","85","0.4","0.7","","-8.1","2.6","0.8","19878"
"Marwin Gonzalez","Twins","75","307","276","74","16","1","10","38","40","25","66","3","1","1","",".269",".334",".444",".777",".328","","103","-0.3","-0.7","","0.9","-3.2","0.8","5497"
"Alex Dickerson","Giants","106","439","394","107","22","4","13","49","54","34","92","6","3","1","",".272",".336",".448",".784",".330","","106","-0.2","-3.2","","3.3","-8.9","0.8","12649"
"Mike Tauchman","Yankees","110","435","385","95","19","2","12","51","49","41","97","3","8","3","",".247",".322",".398",".720",".308","","91","0.1","0.9","","-5.0","-2.0","0.8","15274"
"Josh Reddick","Astros","86","353","319","85","14","2","11","43","45","28","51","1","3","1","",".267",".326",".428",".754",".319","","101","0.4","-0.9","","0.9","-5.0","0.8","3892"
"Mike Yastrzemski","Giants","136","591","525","127","28","4","18","68","61","52","154","5","7","3","",".243",".315",".414",".730",".309","","93","0.8","-1.5","","-5.0","-5.9","0.8","14854"
"Avisail Garcia","Brewers","110","472","430","116","21","2","20","57","66","31","112","6","6","3","",".269",".324",".462",".786",".329","","100","-0.7","-1.6","","-0.5","-6.6","0.8","5760"
"Shin-Soo Choo","Rangers","146","665","564","144","27","2","23","92","70","79","165","11","10","3","",".255",".356",".431",".787",".337","","101","-0.3","-2.5","","0.7","-16.5","0.8","3174"
"Dylan Carlson","Cardinals","68","281","252","64","12","2","8","31","32","23","60","3","6","3","",".253",".320",".420",".740",".313","","94","0.1","0.0","","-2.0","0.6","0.7","sa917940"
"D.J. Stewart","Orioles","79","323","282","71","14","1","13","39","40","32","70","4","6","3","",".253",".335",".442",".777",".329","","103","0.1","-1.1","","1.3","-5.1","0.7","17766"
"Cameron Maybin","Tigers","104","420","367","94","20","1","10","47","43","44","96","3","13","5","",".255",".337",".393",".730",".315","","94","0.6","-0.2","","-2.5","-4.8","0.7","5223"
"Dexter Fowler","Cardinals","126","541","462","108","23","2","16","63","56","66","131","6","8","3","",".235",".336",".399",".735",".317","","97","0.8","-3.2","","-1.4","-8.7","0.7","4062"
"Jordan Luplow","Indians","68","282","247","62","13","1","11","36","38","29","64","3","4","2","",".250",".333",".449",".783",".331","","102","0.0","1.0","","0.6","-3.3","0.7","16424"
"Enrique Hernandez","Dodgers","61","253","223","55","12","1","10","31","33","25","51","2","2","1","",".246",".324",".444",".768",".323","","102","0.5","0.3","","1.1","-2.2","0.7","10472"
"Tyler O'Neill","Cardinals","106","430","390","92","16","1","21","50","60","32","136","3","4","2","",".237",".297",".449",".746",".312","","94","0.7","1.5","","-2.9","-4.3","0.7","15711"
"Kevin Pillar","Red Sox","60","248","231","63","15","1","7","30","32","10","40","3","5","2","",".273",".310",".439",".749",".314","","90","0.9","2.0","","-2.3","0.3","0.7","12434"
"Tyler Naquin","Indians","65","256","234","64","14","1","9","31","33","17","61","2","3","2","",".275",".326",".449",".774",".325","","98","0.3","1.3","","-0.5","-1.9","0.6","13359"
"Steven Souza Jr.","Cubs","84","356","309","74","14","2","16","46","48","39","103","4","6","2","",".240",".330",".454",".784",".331","","103","0.9","-1.6","","2.3","-7.1","0.6","5667"
"Victor Reyes","Tigers","96","411","384","105","19","3","8","46","40","18","78","2","12","5","",".273",".308",".400",".708",".300","","84","0.4","3.7","","-8.1","0.0","0.6","15487"
"Jarrod Dyson","Pirates","86","367","325","78","13","2","6","39","31","33","66","4","19","5","",".239",".314",".346",".660",".288","","76","2.6","1.9","","-8.9","3.3","0.6","4866"
"Garrett Cooper","Marlins","93","402","363","95","20","1","12","44","46","31","100","4","1","0","",".263",".325",".424",".749",".318","","99","-0.5","0.6","","-1.2","-5.8","0.6","15279"
"Austin Riley","Braves","58","237","216","54","11","1","12","28","35","16","69","2","1","0","",".249",".306",".473",".779",".323","","96","0.1","-1.6","","-1.0","-0.6","0.6","18360"
"Yoenis Cespedes","Mets","46","200","180","46","9","1","11","26","29","17","52","2","2","1","",".254",".321",".487",".808",".335","","111","0.1","-0.5","","2.9","-3.5","0.6","13110"
"Derek Fisher","Blue Jays","84","343","299","68","13","1","13","42","40","35","108","3","8","3","",".228",".314",".416",".730",".311","","93","0.3","0.6","","-2.9","-3.8","0.5","16192"
"Chris Taylor","Dodgers","64","271","240","58","14","2","7","32","29","24","75","3","4","2","",".243",".318",".406",".724",".308","","92","0.9","-0.5","","-1.9","-2.1","0.5","13757"
"JaCoby Jones","Tigers","130","532","478","112","24","4","15","60","56","38","156","9","11","4","",".233",".299",".396",".695",".295","","80","1.0","-4.1","","-12.2","-1.9","0.5","14818"
"Christin Stewart","Tigers","112","480","422","104","21","2","18","58","59","47","115","5","1","1","",".245",".327",".434",".761",".322","","98","-0.5","-4.3","","-1.5","-11.0","0.4","17714"
"Tony Kemp","Athletics","50","199","177","46","8","2","3","23","20","17","28","2","5","2","",".260",".330",".380",".710",".306","","92","-0.2","-0.2","","-2.1","-0.5","0.4","14894"
"Brett Phillips","Royals","79","318","277","58","9","5","8","34","32","34","107","2","8","3","",".210",".299",".367",".665",".286","","74","0.8","4.5","","-9.8","3.0","0.4","14735"
"Domingo Santana","Indians","87","375","326","81","16","1","15","48","49","41","117","3","5","2","",".248",".335",".441",".776",".329","","101","0.4","-3.8","","0.7","-9.6","0.4","10348"
"Robbie Grossman","Athletics","45","190","162","41","9","1","4","23","19","25","35","1","2","1","",".254",".353",".386",".740",".322","","103","-0.1","-0.9","","0.7","-3.2","0.4","5254"
"Matt Joyce","Marlins","67","275","231","55","11","0","9","31","30","38","59","2","2","1","",".238",".346",".411",".757",".326","","104","-0.3","-1.3","","1.2","-6.0","0.4","3353"
"Brandon Drury","Blue Jays","83","334","303","73","18","1","10","36","38","24","82","3","2","1","",".241",".300",".406",".705",".299","","85","-0.2","-0.1","","-6.7","-1.1","0.4","11615"
"Nick Markakis","Braves","75","320","284","80","17","1","7","37","39","31","46","2","1","0","",".282",".354",".428",".782",".333","","103","-1.0","-2.0","","0.3","-6.9","0.4","5930"
"Leury Garcia","White Sox","89","398","370","97","17","2","7","45","36","17","91","5","9","3","",".261",".300",".374",".674",".289","","79","0.9","0.1","","-9.6","-0.8","0.4","5913"
"Jose Martinez","Rays","57","238","213","57","10","1","7","28","28","21","51","1","2","1","",".270",".338",".426",".764",".326","","106","-0.2","-0.2","","1.7","-6.4","0.4","7996"
"Aaron Hicks","Yankees","16","70","60","14","3","0","3","9","9","9","16","0","1","0","",".240",".341",".438",".780",".332","","107","0.2","-0.1","","0.8","0.2","0.3","5297"
"Jake Bauers","Indians","49","200","173","42","10","0","7","24","24","23","49","2","4","2","",".242",".333",".415",".748",".321","","95","0.4","0.0","","-0.8","-2.9","0.3","15194"
"Chad Pinder","Athletics","36","147","134","33","7","0","5","17","18","9","38","2","1","0","",".250",".306",".427",".734",".310","","95","-0.2","0.6","","-1.1","-0.8","0.3","15191"
"Teoscar Hernandez","Blue Jays","118","496","442","102","21","3","22","61","65","44","153","3","7","3","",".230",".302",".443",".746",".313","","94","0.2","-3.3","","-3.8","-10.6","0.3","13066"
"Myles Straw","Astros","29","117","104","27","4","1","1","13","10","11","22","1","6","2","",".260",".335",".339",".674",".297","","86","0.5","-0.1","","-1.6","0.5","0.3","17620"
"Aristides Aquino","Reds","89","381","350","84","15","1","22","47","60","24","108","3","5","2","",".240",".294",".481",".776",".320","","93","0.1","-1.2","","-3.2","-6.1","0.3","15482"
"Jon Berti","Marlins","56","243","216","52","10","1","4","26","20","20","54","3","10","3","",".242",".314",".362",".676",".293","","83","1.1","-0.1","","-4.5","-0.7","0.3","12037"
"Eric Thames","Nationals","105","438","378","89","19","2","19","55","57","48","133","6","4","2","",".237",".330",".447",".778",".327","","98","0.2","-1.7","","-1.0","-10.5","0.3","3711"
"Wil Myers","Padres","83","354","311","71","16","1","14","41","42","36","110","2","10","4","",".229",".311",".416",".726",".309","","91","0.8","-0.6","","-3.4","-5.5","0.3","10047"
"Garrett Stubbs","Astros","32","132","117","27","6","0","3","15","13","11","27","1","3","1","",".231",".302",".351",".653",".283","","77","0.2","0.0","","-3.7","2.6","0.2","18067"
"Josh Naylor","Padres","41","171","153","41","8","0","6","20","20","15","30","1","1","1","",".266",".331",".435",".766",".324","","101","0.1","-0.7","","0.3","-3.4","0.2","18839"
"Brock Holt","Brewers","80","325","284","70","13","1","6","33","32","32","68","5","3","1","",".248",".331",".367",".698",".304","","84","-0.2","-0.4","","-7.2","-1.1","0.2","9345"
"Jose Osuna","Pirates","74","300","274","73","18","1","9","33","37","19","57","2","2","1","",".265",".317",".440",".757",".319","","97","-0.3","-2.0","","-1.6","-5.9","0.2","12937"
